ticker,promoter_pledge_pct,promoter_holding_pct,fii_delta_qoq,dii_delta_qoq,mf_delta_qoq,auditor_qualified,rpt_concern,note
360ONE,0.0,6.2,-4.78,5.95,,,,
3MINDIA,0.0,75.0,-0.02,-0.18,,,,
AADHARHFC,0.0,64.66,-0.33,0.77,,,,
AARTIIND,0.0,41.82,-0.38,0.99,,,,
AAVAS,0.0,48.88,-0.46,0.01,,,,
ABB,0.0,75.0,-0.52,0.61,,,,
ABBOTINDIA,0.0,74.99,0.11,-0.16,,,,
ABCAPITAL,0.0,68.81,0.93,-0.35,,,,
ABDL,0.0,80.91,0.01,0.25,,,,
ABFRL,0.0,46.61,-2.66,-0.93,,,,
ABLBL,0.0,46.6,-0.08,0.56,,,,
ABREL,0.0,50.21,0.22,0.23,,,,
ABSLAMC,0.0,74.72,-1.34,2.71,,,,
ACC,0.0,56.69,-0.1,-0.5,,,,
ACE,0.0,65.42,-1.76,0.75,,,,
ACMESOLAR,0.0,71.4,0.79,12.05,,,,
ACUTAAS,0.0,32.66,2.13,-0.05,,,,
ADANIENSOL,0.0,74.71,-2.09,1.53,,,,
ADANIENT,0.0,74.84,-2.03,2.64,,,,
ADANIGREEN,0.0,62.43,0.74,0.26,,,,
ADANIPORTS,0.0,66.03,2.33,-0.26,,,,
ADANIPOWER,0.0,74.96,0.03,0.38,,,,
AEGISLOG,0.0,58.1,-0.02,-0.07,,,,
AEGISVOPAK,0.0,86.94,-0.54,0.41,,,,
AFCONS,100.0,50.17,-0.04,-0.89,,,,
AFFLE,0.0,54.91,-1.29,0.87,,,,
AIAENG,0.0,58.5,0.08,0.07,,,,
AIIL,0.0,68.81,0.05,0.01,,,,
AJANTPHARM,0.0,63.49,-0.58,3.44,,,,
ALKEM,0.0,49.7,0.27,1.25,,,,
AMBER,0.0,38.09,-3.49,2.62,,,,
AMBUJACEM,0.0,67.33,-0.24,-0.42,,,,
ANANDRATHI,0.0,41.37,0.59,1.3,,,,
ANANTRAJ,0.0,57.43,-0.14,-0.23,,,,
ANGELONE,0.0,28.59,0.95,1.46,,,,
ANTHEM,0.0,71.42,1.29,1.93,,,,
ANURAS,0.0,59.07,0.81,0.03,,,,
APARINDS,0.0,57.76,1.38,-1.13,,,,
APLAPOLLO,0.0,28.25,-2.4,2.53,,,,
APOLLOHOSP,0.0,28.02,-1.13,0.96,,,,
APOLLOTYRE,0.0,36.93,-2.06,1.49,,,,
APTUS,0.0,23.86,-0.38,0.47,,,,
ARE&M,0.0,32.86,0.03,-1.64,,,,
ASAHIINDIA,0.0,51.58,0.0,-0.09,,,,
ASHOKLEY,40.1,51.51,-3.9,2.69,,,,
ASIANPAINT,0.0,52.63,1.21,-1.04,,,,
ASTERDM,0.0,40.39,-6.65,0.08,,,,
ASTRAL,0.0,54.22,-0.61,0.01,,,,
ATGL,0.0,74.8,0.02,0.08,,,,
ATHERENERG,0.0,40.72,-0.98,0.31,,,,
ATUL,0.0,45.33,-0.06,0.04,,,,
AUBANK,0.0,22.74,-1.29,1.51,,,,
AUROPHARMA,0.0,51.88,1.14,-0.77,,,,
AWL,0.0,56.94,-0.76,0.09,,,,
